2026-01-20 15:18:44 | INFO | GRBmodelstr | -------------------------------START : APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:44 | INFO | GRBmodelstr | SYN SED approx time shell 2: 0.005 s
2026-01-20 15:18:44 | INFO | GRBmodelstr | IC SED approx time shell 2: 0.220 s
2026-01-20 15:18:44 | INFO | GRBmodelstr | --------------------------------- END: APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:44 | INFO | GRBmodelstr | 
2026-01-20 15:18:44 | INFO | GRBmodelstr | ################################# START: TRUE SPECTRUM #################################
2026-01-20 15:18:44 | INFO | GRBmodelstr | 
2026-01-20 15:18:44 | INFO | GRBmodelstr | D shape:(20,)
2026-01-20 15:18:44 | INFO | GRBmodelstr | Time for SYN.sed in shell : 0.019 s
2026-01-20 15:18:48 | INFO | GRBmodelstr | Time for IC.sed in shell : 3.365 s
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | ------------------------------ Integration phi START ------------------------------------
2026-01-20 15:18:48 | INFO | GRBmodelstr | Time for integrate SYN on phi : 0.000013 s
2026-01-20 15:18:48 | INFO | GRBmodelstr | Tempo impiegato per integrare ic shell con simpson uniform : 0.000009 s
2026-01-20 15:18:48 | INFO | GRBmodelstr | ------------------------------ Integration phi END ----------------------------------
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | ############################## END: TRUE SPECTRUM ###################################
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:48 | INFO | GRBmodelstr | #        Shell number:3 over 12        #
2026-01-20 15:18:48 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | Gamma shell 3: 136.26
2026-01-20 15:18:48 | INFO | GRBmodelstr | Energy in the shell3 (erg): 2.20e+54
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | SYN class norm1: 6.818771362304688e-05s
2026-01-20 15:18:48 | INFO | GRBmodelstr | SYN class norm: 6.651878356933594e-05s
2026-01-20 15:18:48 | INFO | GRBmodelstr | IC class: 0.00010228157043457031s
2026-01-20 15:18:48 | INFO | GRBmodelstr | -------------------------------START : APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:48 | INFO | GRBmodelstr | SYN SED approx time shell 3: 0.004 s
2026-01-20 15:18:48 | INFO | GRBmodelstr | IC SED approx time shell 3: 0.177 s
2026-01-20 15:18:48 | INFO | GRBmodelstr | --------------------------------- END: APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | ################################# START: TRUE SPECTRUM #################################
2026-01-20 15:18:48 | INFO | GRBmodelstr | 
2026-01-20 15:18:48 | INFO | GRBmodelstr | D shape:(20,)
2026-01-20 15:18:48 | INFO | GRBmodelstr | Time for SYN.sed in shell : 0.015 s
2026-01-20 15:18:51 | INFO | GRBmodelstr | Time for IC.sed in shell : 3.290 s
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | ------------------------------ Integration phi START ------------------------------------
2026-01-20 15:18:51 | INFO | GRBmodelstr | Time for integrate SYN on phi : 0.000014 s
2026-01-20 15:18:51 | INFO | GRBmodelstr | Tempo impiegato per integrare ic shell con simpson uniform : 0.000009 s
2026-01-20 15:18:51 | INFO | GRBmodelstr | ------------------------------ Integration phi END ----------------------------------
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | ############################## END: TRUE SPECTRUM ###################################
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:51 | INFO | GRBmodelstr | #        Shell number:4 over 12        #
2026-01-20 15:18:51 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | Gamma shell 4: 136.02
2026-01-20 15:18:51 | INFO | GRBmodelstr | Energy in the shell4 (erg): 2.17e+54
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | SYN class norm1: 6.29425048828125e-05s
2026-01-20 15:18:51 | INFO | GRBmodelstr | SYN class norm: 6.437301635742188e-05s
2026-01-20 15:18:51 | INFO | GRBmodelstr | IC class: 0.0001049041748046875s
2026-01-20 15:18:51 | INFO | GRBmodelstr | -------------------------------START : APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:51 | INFO | GRBmodelstr | SYN SED approx time shell 4: 0.004 s
2026-01-20 15:18:51 | INFO | GRBmodelstr | IC SED approx time shell 4: 0.171 s
2026-01-20 15:18:51 | INFO | GRBmodelstr | --------------------------------- END: APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | ################################# START: TRUE SPECTRUM #################################
2026-01-20 15:18:51 | INFO | GRBmodelstr | 
2026-01-20 15:18:51 | INFO | GRBmodelstr | D shape:(20,)
2026-01-20 15:18:51 | INFO | GRBmodelstr | Time for SYN.sed in shell : 0.015 s
2026-01-20 15:18:55 | INFO | GRBmodelstr | Time for IC.sed in shell : 3.328 s
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | ------------------------------ Integration phi START ------------------------------------
2026-01-20 15:18:55 | INFO | GRBmodelstr | Time for integrate SYN on phi : 0.000017 s
2026-01-20 15:18:55 | INFO | GRBmodelstr | Tempo impiegato per integrare ic shell con simpson uniform : 0.000009 s
2026-01-20 15:18:55 | INFO | GRBmodelstr | ------------------------------ Integration phi END ----------------------------------
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | ############################## END: TRUE SPECTRUM ###################################
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:55 | INFO | GRBmodelstr | #        Shell number:5 over 12        #
2026-01-20 15:18:55 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | Gamma shell 5: 135.58
2026-01-20 15:18:55 | INFO | GRBmodelstr | Energy in the shell5 (erg): 2.11e+54
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | SYN class norm1: 5.745887756347656e-05s
2026-01-20 15:18:55 | INFO | GRBmodelstr | SYN class norm: 6.651878356933594e-05s
2026-01-20 15:18:55 | INFO | GRBmodelstr | IC class: 9.894371032714844e-05s
2026-01-20 15:18:55 | INFO | GRBmodelstr | -------------------------------START : APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:55 | INFO | GRBmodelstr | SYN SED approx time shell 5: 0.004 s
2026-01-20 15:18:55 | INFO | GRBmodelstr | IC SED approx time shell 5: 0.180 s
2026-01-20 15:18:55 | INFO | GRBmodelstr | --------------------------------- END: APPROX SPECTRUM ---------------------------------
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | ################################# START: TRUE SPECTRUM #################################
2026-01-20 15:18:55 | INFO | GRBmodelstr | 
2026-01-20 15:18:55 | INFO | GRBmodelstr | D shape:(20,)
2026-01-20 15:18:55 | INFO | GRBmodelstr | Time for SYN.sed in shell : 0.016 s
2026-01-20 15:18:58 | INFO | GRBmodelstr | Time for IC.sed in shell : 3.382 s
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | ------------------------------ Integration phi START ------------------------------------
2026-01-20 15:18:58 | INFO | GRBmodelstr | Time for integrate SYN on phi : 0.000013 s
2026-01-20 15:18:58 | INFO | GRBmodelstr | Tempo impiegato per integrare ic shell con simpson uniform : 0.000009 s
2026-01-20 15:18:58 | INFO | GRBmodelstr | ------------------------------ Integration phi END ----------------------------------
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | ############################## END: TRUE SPECTRUM ###################################
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:58 | INFO | GRBmodelstr | #        Shell number:6 over 12        #
2026-01-20 15:18:58 | INFO | GRBmodelstr | ########################################
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | Gamma shell 6: 134.87
2026-01-20 15:18:58 | INFO | GRBmodelstr | Energy in the shell6 (erg): 2.02e+54
2026-01-20 15:18:58 | INFO | GRBmodelstr | 
2026-01-20 15:18:58 | INFO | GRBmodelstr | SYN class norm1: 7.414817810058594e-05s
2026-01-20 15:18:58 | INFO | GRBmodelstr | SYN class norm: 7.367134094238281e-05s
2026-01-20 15:18:58 | INFO | GRBmodelstr | IC class: 9.441375732421875e-05s
2026-01-20 15:18:58 | INFO | GRBmodelstr | -------------------------------START : APPROX SPECTRUM ---------------------------------
